School DBN,date,temperature_2m_mean (°C),precipitation_sum (mm),absent_rate,present_rate
07X369,2019/02,0.892857142857143,3.0500000000000003,0.06204135803267104,0.9288224293427442
07X369,2019/03,2.785,2.825,0.06797633870642904,0.9290824848229826
07X369,2019/04,9.2125,3.5125,0.05649426105103396,0.943505738948966
07X369,2019/05,15.477272727272727,3.227272727272727,0.06795605309258207,0.932043946907418
07X369,2019/06,20.146666666666665,7.493333333333334,0.1359683794466403,0.8640316205533597
07X379,2018/09,21.279999999999998,13.366666666666667,0.3634929628991761,0.6365070371008239
07X379,2018/10,13.759090909090908,2.7409090909090907,0.38164940070814596,0.6128166735981689
07X379,2018/11,6.911111111111111,6.238888888888889,0.4317381156810962,0.5663075980837378
07X379,2018/12,2.393333333333333,3.5600000000000005,0.47731881365190176,0.5223208259877379
07X379,2019/01,-1.0875,0.6687500000000001,0.5235810920203186,0.4760736041122781
07X379,2019/02,0.892857142857143,3.0500000000000003,0.5512791771658133,0.4483217805357031
07X379,2019/03,2.785,2.825,0.3999664284331368,0.5997758396081003
07X379,2019/04,9.2125,3.5125,0.4975314060302946,0.5024685939697054
07X379,2019/05,15.477272727272727,3.227272727272727,0.5037319924223455,0.49523052233562387
07X379,2019/06,18.744444444444444,6.988888888888889,0.5444115276211423,0.3296458160014187
07X381,2018/09,21.279999999999998,13.366666666666667,0.308369204159412,0.691630795840588
07X381,2018/10,13.759090909090908,2.7409090909090907,0.31187224310391465,0.6881277568960853
07X381,2018/11,6.911111111111111,6.238888888888889,0.35693012467630464,0.6430698753236954
07X381,2018/12,2.393333333333333,3.5600000000000005,0.4029899484667585,0.5970100515332415
07X381,2019/01,-1.0875,0.6687500000000001,0.48579561453978676,0.5142043854602132
07X381,2019/02,0.892857142857143,3.0500000000000003,0.47680641599705575,0.5231935840029442
